City,ColID,Feature,unique values, null values,null fraction,Sentinel Value,Behavior,heuristic
Beijing,16, lat,37,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,17, long,47,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,7, station_id,35,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,23, summary,19,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,24, temperature,3301,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,8, test_id,1681,0,0.000000,,no holes; no problem,no holes; no problem
Beijing,9, time,1174,0,0.000000,,no holes; no problem,no holes; no problem
London,0, CO_Concentration,0,23022,1.000000,,no values whatsoever,drop for London
London,2, O3_Concentration,0,23022,1.000000,,no values whatsoever,drop for London
London,5, SO2_Concentration,0,23022,1.000000,,no values whatsoever,drop for London
London,25, uvIndex,7,10203,0.443185,-1.000000,no good values until 4/22 9:00pm,for each station: replace null with averge of prior and subsetuqent non-null value for same station
London,28, windGust,2849,10203,0.443185,-10.000000,no good values until 4/22 9:00pm,Station CD9 has an anoalous vlaue at 4/25 3pm. Replace with average of predecessor and successor
London,18, ozone,5876,10127,0.439884,-100.000000,no good values until 4/22 9:00pm,Station CD9 has an anoalous vlaue at 4/25 3pm. Replace with average of predecessor and successor
London,19, precipIntensity,536,10127,0.439884,-1.000000,no good values until 4/22 9:00pm,all values on 4/22 9pm and after ate fine.
London,20, precipProbability,88,10127,0.439884,-1.000000,no good values until 4/22 9:00pm,all values on 4/22 9pm and after ate fine.
London,21, precipType,1,8711,0.378377,n/a,n/a,replace null values with the word 'none' (no quotes)
London,1, NO2_Concentration,1306,7318,0.317870,-100.000000,BX9 CT2 KF1 MYZ TD5 should be dropped. Maybe drop CT3,Station CD9 has an anoalous vlaue at 4/25 3pm. Replace with average of predecessor and successor
London,3, PM10_Concentration,773,6054,0.262966,-100.000000,BX9 CT2 TD5 should be dropped, Replace with average of predecessor and successor
London,4, PM25_Concentration,697,4406,0.191382,-100.000000,BX1 should be dropped,
London,11, cloudCover,101,1657,0.071975,-1.000000,,If summary field says Foggy then set cloudCover  to 1.0; otherwise set to 0.0
London,26, visibility,912,13,0.000565,-1.000000,Station CD9 is anomalous,Station CD9 has an anoalous vlaue at 4/25 3pm. Replace with average of predecessor and successor
London,10, apparentTemperature,2625,0,0.000000,,no holes; no problem,no holes; no problem
London,12, datetime,1220,0,0.000000,,no holes; no problem,no holes; no problem
London,13, dewPoint,1392,0,0.000000,,no holes; no problem,no holes; no problem
London,14, humidity,75,0,0.000000,,no holes; no problem,no holes; no problem
London,15, icon,8,0,0.000000,,no holes; no problem,no holes; no problem
London,6, id,23022,0,0.000000,,no holes; no problem,no holes; no problem
London,16, lat,20,0,0.000000,,no holes; no problem,no holes; no problem
London,17, long,19,0,0.000000,,no holes; no problem,no holes; no problem
London,22, pressure,3381,0,0.000000,,no holes; no problem,no holes; no problem
London,7, station_id,19,0,0.000000,,no holes; no problem,no holes; no problem
London,23, summary,12,0,0.000000,,no holes; no problem,no holes; no problem
London,24, temperature,2306,0,0.000000,,no holes; no problem,no holes; no problem
London,8, test_id,625,0,0.000000,,no holes; no problem,no holes; no problem
London,9, time,1220,0,0.000000,,no holes; no problem,no holes; no problem
London,27, windBearing,360,0,0.000000,,no holes; no problem,no holes; no problem
London,29, windSpeed,1897,0,0.000000,,no holes; no problem,no holes; no problem
