test_id,PM2.5,PM10,O3
tiantan_aq#38,12.0,44.1,68.2
tiantan_aq#39,13.4,56.6,58.9
tiantan_aq#40,14.2,52.0,55.0
tiantan_aq#41,16.9,53.7,40.0
tiantan_aq#42,37.9,151.2,42.0
tiantan_aq#43,59.1,184.7,19.4
tiantan_aq#44,54.4,185.6,13.3
tiantan_aq#45,53.9,181.5,4.1
tiantan_aq#46,62.5,178.2,10.3
tiantan_aq#47,64.1,181.0,19.1
guanyuan_aq#0,167.1,136.3,25.1
guanyuan_aq#1,167.1,146.5,51.3
guanyuan_aq#2,169.8,135.0,64.8
guanyuan_aq#3,168.7,97.0,92.5
guanyuan_aq#4,167.7,87.1,101.9
guanyuan_aq#5,147.8,88.1,126.8
guanyuan_aq#6,55.1,165.5,137.7
guanyuan_aq#7,49.9,156.8,151.5
guanyuan_aq#8,52.3,116.5,158.7
guanyuan_aq#9,56.3,146.9,181.6
guanyuan_aq#10,96.5,87.3,199.3
guanyuan_aq#11,102.6,86.5,178.4
guanyuan_aq#12,84.7,85.4,111.1
guanyuan_aq#13,84.7,89.2,83.9
guanyuan_aq#14,88.0,151.3,83.6
guanyuan_aq#15,90.5,97.8,77.2
guanyuan_aq#16,88.8,137.9,59.5
guanyuan_aq#17,83.4,90.3,54.0
guanyuan_aq#18,61.7,90.3,49.8
guanyuan_aq#19,71.7,90.4,10.7
guanyuan_aq#20,153.6,103.8,6.1
guanyuan_aq#21,164.9,124.4,13.1
guanyuan_aq#22,167.5,131.0,3.9
guanyuan_aq#23,167.4,263.8,4.0
guanyuan_aq#24,53.7,80.2,11.9
guanyuan_aq#25,53.7,80.2,38.7
guanyuan_aq#26,53.7,80.2,70.3
guanyuan_aq#27,78.1,170.0,95.4
guanyuan_aq#28,72.6,166.7,98.6
guanyuan_aq#29,53.5,176.9,114.1
guanyuan_aq#30,50.4,180.7,119.9
guanyuan_aq#31,27.8,167.8,125.7
guanyuan_aq#32,37.3,176.7,126.2
guanyuan_aq#33,13.8,66.0,107.5
guanyuan_aq#34,13.3,59.6,105.5
guanyuan_aq#35,13.5,55.5,94.9
guanyuan_aq#36,13.9,68.3,88.8
guanyuan_aq#37,12.6,40.7,62.4
guanyuan_aq#38,14.0,41.1,72.3
guanyuan_aq#39,14.8,54.8,81.4
guanyuan_aq#40,14.4,48.8,61.3
guanyuan_aq#41,17.9,55.1,34.3
guanyuan_aq#42,25.2,113.0,46.5
guanyuan_aq#43,50.5,168.4,23.2
guanyuan_aq#44,50.5,193.5,9.1
guanyuan_aq#45,52.8,192.3,4.6
guanyuan_aq#46,59.8,182.0,10.0
guanyuan_aq#47,63.8,191.8,20.1
wanshouxigong_aq#0,167.1,142.8,14.5
wanshouxigong_aq#1,167.1,140.1,62.0
wanshouxigong_aq#2,169.8,138.0,65.5
wanshouxigong_aq#3,168.7,97.0,93.0
wanshouxigong_aq#4,166.0,87.1,97.9
wanshouxigong_aq#5,148.1,79.3,124.8
wanshouxigong_aq#6,51.0,165.5,136.1
wanshouxigong_aq#7,48.6,161.5,155.3
wanshouxigong_aq#8,53.3,119.6,158.7
wanshouxigong_aq#9,56.6,148.8,183.2
wanshouxigong_aq#10,96.5,90.2,193.8
wanshouxigong_aq#11,100.8,85.4,139.5
wanshouxigong_aq#12,84.7,84.1,124.9
wanshouxigong_aq#13,85.3,81.1,87.0
wanshouxigong_aq#14,88.0,148.8,88.1
wanshouxigong_aq#15,89.4,97.9,72.5
wanshouxigong_aq#16,89.4,103.7,63.4
wanshouxigong_aq#17,60.7,114.6,43.0
wanshouxigong_aq#18,59.9,86.3,44.1
wanshouxigong_aq#19,70.1,84.2,11.9
wanshouxigong_aq#20,154.5,96.9,16.2
wanshouxigong_aq#21,163.3,119.0,12.5
wanshouxigong_aq#22,165.9,125.6,5.0
wanshouxigong_aq#23,165.8,264.6,6.4
wanshouxigong_aq#24,52.6,68.6,12.5
wanshouxigong_aq#25,52.6,60.8,41.3
wanshouxigong_aq#26,64.6,86.9,77.4
wanshouxigong_aq#27,77.2,171.2,96.3
wanshouxigong_aq#28,74.6,172.7,98.6
wanshouxigong_aq#29,59.2,183.3,113.3
wanshouxigong_aq#30,57.3,179.5,119.1
wanshouxigong_aq#31,34.3,168.7,125.0
wanshouxigong_aq#32,41.7,177.0,124.5
wanshouxigong_aq#33,13.2,54.1,110.7
wanshouxigong_aq#34,11.2,62.8,93.4
wanshouxigong_aq#35,11.2,64.0,86.4
wanshouxigong_aq#36,12.4,71.6,88.8
wanshouxigong_aq#37,8.6,40.6,62.9
wanshouxigong_aq#38,10.5,40.9,71.5
wanshouxigong_aq#39,10.5,58.0,68.0
wanshouxigong_aq#40,10.8,51.3,55.6
wanshouxigong_aq#41,15.2,51.7,40.0
wanshouxigong_aq#42,48.5,161.2,44.1
wanshouxigong_aq#43,72.5,189.9,19.8
wanshouxigong_aq#44,66.3,197.3,11.0
wanshouxigong_aq#45,67.1,195.9,4.7
wanshouxigong_aq#46,67.9,183.6,10.1
wanshouxigong_aq#47,69.5,183.6,19.1
aotizhongxin_aq#0,167.1,140.4,26.9
aotizhongxin_aq#1,167.1,136.5,57.4
aotizhongxin_aq#2,169.3,135.9,68.5
aotizhongxin_aq#3,169.3,101.5,93.9
aotizhongxin_aq#4,167.7,87.1,97.8
aotizhongxin_aq#5,124.5,81.5,124.8
aotizhongxin_aq#6,49.8,160.8,136.1
aotizhongxin_aq#7,50.0,156.8,155.3
aotizhongxin_aq#8,57.0,148.7,168.0
aotizhongxin_aq#9,52.8,103.0,185.5
aotizhongxin_aq#10,62.2,90.9,130.9
aotizhongxin_aq#11,103.2,90.8,131.2
aotizhongxin_aq#12,92.1,88.7,119.1
aotizhongxin_aq#13,91.2,154.2,89.2
aotizhongxin_aq#14,95.4,152.0,86.4
aotizhongxin_aq#15,96.2,101.2,78.0
aotizhongxin_aq#16,90.5,95.8,74.5
aotizhongxin_aq#17,91.4,135.0,36.7
aotizhongxin_aq#18,60.5,88.6,49.0
aotizhongxin_aq#19,56.7,88.3,17.7
aotizhongxin_aq#20,71.7,92.5,19.5
aotizhongxin_aq#21,156.1,104.0,9.3
aotizhongxin_aq#22,164.9,131.0,3.0
aotizhongxin_aq#23,167.4,265.4,6.4
aotizhongxin_aq#24,34.5,80.2,11.9
aotizhongxin_aq#25,53.8,80.2,41.7
aotizhongxin_aq#26,53.8,80.2,75.5
aotizhongxin_aq#27,67.5,108.3,98.9
aotizhongxin_aq#28,62.4,174.9,102.4
aotizhongxin_aq#29,53.3,176.3,106.6
aotizhongxin_aq#30,53.9,171.3,119.1
aotizhongxin_aq#31,34.4,172.4,124.8
aotizhongxin_aq#32,36.7,170.7,122.7
aotizhongxin_aq#33,30.1,147.7,106.4
aotizhongxin_aq#34,22.0,135.1,103.9
aotizhongxin_aq#35,9.3,83.3,101.8
aotizhongxin_aq#36,9.6,81.8,88.8
aotizhongxin_aq#37,10.2,53.8,82.1
aotizhongxin_aq#38,9.9,53.7,64.5
aotizhongxin_aq#39,11.9,51.9,74.8
aotizhongxin_aq#40,13.7,59.8,50.7
aotizhongxin_aq#41,12.8,64.0,41.6
aotizhongxin_aq#42,22.6,63.8,45.5
aotizhongxin_aq#43,44.6,156.3,12.8
aotizhongxin_aq#44,44.9,168.9,10.4
aotizhongxin_aq#45,43.1,174.7,8.1
aotizhongxin_aq#46,44.2,168.2,8.2
aotizhongxin_aq#47,62.4,176.4,18.3
nongzhanguan_aq#0,167.1,147.4,18.0
nongzhanguan_aq#1,167.1,146.3,65.7
nongzhanguan_aq#2,168.7,145.1,63.7
nongzhanguan_aq#3,168.7,100.4,93.0
nongzhanguan_aq#4,165.7,78.9,112.9
nongzhanguan_aq#5,75.1,81.5,145.2
nongzhanguan_aq#6,49.8,153.3,139.9
nongzhanguan_aq#7,50.0,161.3,159.3
nongzhanguan_aq#8,53.0,187.8,183.6
nongzhanguan_aq#9,58.0,120.7,137.5
nongzhanguan_aq#10,60.3,92.9,143.9
nongzhanguan_aq#11,102.2,88.1,144.6
nongzhanguan_aq#12,85.3,85.5,119.9
nongzhanguan_aq#13,87.5,85.9,66.0
nongzhanguan_aq#14,100.9,152.0,81.8
nongzhanguan_aq#15,90.2,102.6,97.0
nongzhanguan_aq#16,90.5,100.3,70.3
nongzhanguan_aq#17,63.7,150.3,35.0
nongzhanguan_aq#18,60.5,90.7,49.6
nongzhanguan_aq#19,56.7,103.0,13.0
nongzhanguan_aq#20,71.7,99.5,27.2
nongzhanguan_aq#21,156.1,107.2,5.8
nongzhanguan_aq#22,167.5,134.2,6.2
nongzhanguan_aq#23,167.4,271.6,3.4
nongzhanguan_aq#24,33.3,68.6,12.5
nongzhanguan_aq#25,50.9,57.0,40.1
nongzhanguan_aq#26,50.9,60.8,76.6
nongzhanguan_aq#27,72.9,148.5,95.1
nongzhanguan_aq#28,59.2,177.0,102.4
nongzhanguan_aq#29,64.2,187.0,108.2
nongzhanguan_aq#30,51.9,160.2,118.3
nongzhanguan_aq#31,38.3,170.2,123.9
nongzhanguan_aq#32,29.3,170.7,119.8
nongzhanguan_aq#33,11.8,67.2,98.1
nongzhanguan_aq#34,8.5,68.1,101.0
nongzhanguan_aq#35,10.2,63.5,99.9
nongzhanguan_aq#36,8.0,44.2,85.7
nongzhanguan_aq#37,11.5,44.5,88.2
nongzhanguan_aq#38,10.7,44.5,67.7
nongzhanguan_aq#39,11.3,44.5,66.1
nongzhanguan_aq#40,9.6,49.7,57.1
nongzhanguan_aq#41,12.1,59.1,45.0
nongzhanguan_aq#42,25.8,100.6,43.1
nongzhanguan_aq#43,61.7,184.7,9.9
nongzhanguan_aq#44,53.7,192.1,10.2
nongzhanguan_aq#45,54.5,193.1,4.3
nongzhanguan_aq#46,47.1,180.1,14.7
nongzhanguan_aq#47,67.1,192.7,9.9
wanliu_aq#0,167.1,139.6,19.6
wanliu_aq#1,167.1,145.1,52.6
wanliu_aq#2,169.8,143.9,58.1
wanliu_aq#3,168.7,118.2,92.5
wanliu_aq#4,161.8,87.1,98.2
wanliu_aq#5,164.2,86.1,124.8
wanliu_aq#6,73.6,165.5,136.9
wanliu_aq#7,49.5,152.9,151.5
wanliu_aq#8,51.8,118.6,154.7
wanliu_aq#9,54.7,149.7,157.9
wanliu_aq#10,101.4,94.3,196.0
wanliu_aq#11,96.5,87.2,194.7
wanliu_aq#12,86.3,86.1,171.4
wanliu_aq#13,155.9,156.5,83.5
wanliu_aq#14,156.5,156.5,84.6
wanliu_aq#15,90.5,100.1,102.2
wanliu_aq#16,88.8,149.9,59.1
wanliu_aq#17,83.4,92.8,63.1
wanliu_aq#18,60.4,87.1,44.9
wanliu_aq#19,71.7,87.6,10.6
wanliu_aq#20,153.6,97.2,6.3
wanliu_aq#21,164.9,126.9,6.0
wanliu_aq#22,167.5,131.0,11.9
wanliu_aq#23,167.4,265.4,16.3
wanliu_aq#24,25.9,79.8,12.5
wanliu_aq#25,50.4,79.8,36.0
wanliu_aq#26,50.4,79.8,72.9
wanliu_aq#27,85.1,133.6,90.1
wanliu_aq#28,64.0,170.1,101.0
wanliu_aq#29,60.1,168.6,114.7
wanliu_aq#30,50.8,186.6,120.5
wanliu_aq#31,37.2,174.0,120.2
wanliu_aq#32,41.4,185.1,126.0
wanliu_aq#33,9.7,69.5,116.3
wanliu_aq#34,10.7,63.9,109.2
wanliu_aq#35,12.5,63.6,97.2
wanliu_aq#36,11.6,63.2,89.9
wanliu_aq#37,10.6,43.4,56.0
wanliu_aq#38,11.6,37.1,66.3
wanliu_aq#39,12.3,51.5,77.3
wanliu_aq#40,12.1,43.9,51.5
wanliu_aq#41,17.4,53.6,34.3
wanliu_aq#42,23.6,61.6,45.8
wanliu_aq#43,55.4,168.1,18.1
wanliu_aq#44,56.0,191.7,12.8
wanliu_aq#45,51.9,184.7,4.2
wanliu_aq#46,61.2,178.9,9.0
wanliu_aq#47,60.8,182.8,18.1
beibuxinqu_aq#0,163.7,135.6,21.2
beibuxinqu_aq#1,163.7,148.3,50.8
beibuxinqu_aq#2,168.8,136.9,52.2
beibuxinqu_aq#3,167.7,139.6,89.8
beibuxinqu_aq#4,168.8,201.4,100.3
beibuxinqu_aq#5,162.6,199.5,108.0
beibuxinqu_aq#6,81.3,166.5,125.2
beibuxinqu_aq#7,70.2,132.3,150.7
beibuxinqu_aq#8,64.8,142.6,152.5
beibuxinqu_aq#9,110.1,98.3,163.8
beibuxinqu_aq#10,108.9,93.9,195.9
beibuxinqu_aq#11,108.4,82.6,122.7
beibuxinqu_aq#12,93.0,86.5,112.0
beibuxinqu_aq#13,93.0,152.0,93.6
beibuxinqu_aq#14,92.7,152.0,85.3
beibuxinqu_aq#15,97.1,99.6,23.5
beibuxinqu_aq#16,98.0,100.8,57.2
beibuxinqu_aq#17,97.1,94.9,56.3
beibuxinqu_aq#18,77.9,90.7,36.8
beibuxinqu_aq#19,84.2,110.5,10.6
beibuxinqu_aq#20,164.5,99.3,6.1
beibuxinqu_aq#21,164.5,119.0,7.6
beibuxinqu_aq#22,167.1,151.0,10.8
beibuxinqu_aq#23,168.1,265.6,15.7
beibuxinqu_aq#24,43.8,89.6,16.4
beibuxinqu_aq#25,43.8,89.6,35.6
beibuxinqu_aq#26,64.6,124.7,66.7
beibuxinqu_aq#27,86.5,191.3,82.6
beibuxinqu_aq#28,80.9,196.4,103.4
beibuxinqu_aq#29,70.7,195.7,111.4
beibuxinqu_aq#30,49.7,180.8,120.3
beibuxinqu_aq#31,62.8,181.7,121.9
beibuxinqu_aq#32,35.6,193.7,124.3
beibuxinqu_aq#33,10.2,78.3,101.7
beibuxinqu_aq#34,10.5,68.0,104.5
beibuxinqu_aq#35,12.3,79.1,98.9
beibuxinqu_aq#36,10.2,58.4,90.8
beibuxinqu_aq#37,8.8,42.1,97.0
beibuxinqu_aq#38,9.8,38.8,84.1
beibuxinqu_aq#39,10.6,51.9,49.8
beibuxinqu_aq#40,14.1,49.5,45.4
beibuxinqu_aq#41,12.4,56.8,33.9
beibuxinqu_aq#42,34.8,93.9,36.7
beibuxinqu_aq#43,37.2,176.2,14.9
beibuxinqu_aq#44,55.3,215.7,13.5
beibuxinqu_aq#45,50.6,228.3,8.1
beibuxinqu_aq#46,58.6,250.3,17.3
beibuxinqu_aq#47,57.2,219.6,20.7
zhiwuyuan_aq#0,160.7,177.1,35.6
zhiwuyuan_aq#1,163.4,196.1,48.7
zhiwuyuan_aq#2,160.7,196.1,56.1
zhiwuyuan_aq#3,163.4,202.0,94.3
zhiwuyuan_aq#4,155.1,200.7,122.3
zhiwuyuan_aq#5,70.5,174.7,124.0
zhiwuyuan_aq#6,55.1,165.0,141.7
zhiwuyuan_aq#7,53.1,175.4,156.1
zhiwuyuan_aq#8,53.1,142.5,158.9
zhiwuyuan_aq#9,52.8,114.3,185.6
zhiwuyuan_aq#10,47.9,112.7,189.6
zhiwuyuan_aq#11,95.2,84.3,180.9
zhiwuyuan_aq#12,78.5,89.5,106.7
zhiwuyuan_aq#13,79.3,91.4,83.6
zhiwuyuan_aq#14,87.8,93.0,88.3
zhiwuyuan_aq#15,85.1,85.3,65.5
zhiwuyuan_aq#16,85.8,85.6,57.2
zhiwuyuan_aq#17,79.7,133.5,54.0
zhiwuyuan_aq#18,56.8,96.2,37.2
zhiwuyuan_aq#19,56.7,92.5,20.9
zhiwuyuan_aq#20,79.0,106.3,19.5
zhiwuyuan_aq#21,156.1,111.8,7.6
zhiwuyuan_aq#22,164.9,124.4,3.0
zhiwuyuan_aq#23,167.5,134.8,4.8
zhiwuyuan_aq#24,29.0,63.2,15.5
zhiwuyuan_aq#25,24.5,88.9,34.1
zhiwuyuan_aq#26,25.2,80.2,73.1
zhiwuyuan_aq#27,45.1,89.6,97.0
zhiwuyuan_aq#28,34.6,93.6,108.8
zhiwuyuan_aq#29,42.8,92.2,116.8
zhiwuyuan_aq#30,31.8,97.7,124.5
zhiwuyuan_aq#31,23.2,56.1,126.1
zhiwuyuan_aq#32,17.1,65.9,123.5
zhiwuyuan_aq#33,9.7,68.9,124.2
zhiwuyuan_aq#34,10.7,68.9,103.9
zhiwuyuan_aq#35,12.6,56.8,96.3
zhiwuyuan_aq#36,10.2,56.5,89.6
zhiwuyuan_aq#37,9.3,44.9,76.9
zhiwuyuan_aq#38,10.0,45.2,79.6
zhiwuyuan_aq#39,10.9,38.0,77.9
zhiwuyuan_aq#40,13.4,43.1,53.7
zhiwuyuan_aq#41,17.0,58.9,31.3
zhiwuyuan_aq#42,22.7,43.3,42.3
zhiwuyuan_aq#43,51.3,158.3,18.7
zhiwuyuan_aq#44,55.2,194.5,13.5
zhiwuyuan_aq#45,55.6,195.5,9.4
zhiwuyuan_aq#46,61.4,196.7,5.6
zhiwuyuan_aq#47,60.8,178.9,12.1
fengtaihuayuan_aq#0,167.1,136.9,23.5
fengtaihuayuan_aq#1,167.1,143.3,60.3
fengtaihuayuan_aq#2,169.8,135.0,65.5
fengtaihuayuan_aq#3,168.7,135.6,93.0
fengtaihuayuan_aq#4,164.5,87.1,98.1
fengtaihuayuan_aq#5,155.4,87.9,124.8
fengtaihuayuan_aq#6,53.5,175.4,136.1
fengtaihuayuan_aq#7,48.6,152.2,151.5
fengtaihuayuan_aq#8,52.3,120.2,159.0
fengtaihuayuan_aq#9,56.1,154.2,179.5
fengtaihuayuan_aq#10,93.4,87.3,199.3
fengtaihuayuan_aq#11,99.5,86.5,150.9
fengtaihuayuan_aq#12,82.9,85.4,106.2
fengtaihuayuan_aq#13,82.9,87.3,84.6
fengtaihuayuan_aq#14,85.6,151.3,86.4
fengtaihuayuan_aq#15,85.6,97.4,71.2
fengtaihuayuan_aq#16,90.7,102.6,59.5
fengtaihuayuan_aq#17,61.2,111.0,56.3
fengtaihuayuan_aq#18,60.4,120.1,36.5
fengtaihuayuan_aq#19,71.7,125.4,10.6
fengtaihuayuan_aq#20,156.1,115.8,6.2
fengtaihuayuan_aq#21,164.9,124.1,8.6
fengtaihuayuan_aq#22,167.5,151.9,3.3
fengtaihuayuan_aq#23,167.4,273.5,7.8
fengtaihuayuan_aq#24,52.6,76.8,15.5
fengtaihuayuan_aq#25,52.6,68.6,46.1
fengtaihuayuan_aq#26,71.5,97.9,70.3
fengtaihuayuan_aq#27,77.0,170.0,94.6
fengtaihuayuan_aq#28,68.8,160.7,101.0
fengtaihuayuan_aq#29,62.1,173.4,115.4
fengtaihuayuan_aq#30,54.0,185.2,119.3
fengtaihuayuan_aq#31,61.6,183.5,123.3
fengtaihuayuan_aq#32,55.9,178.8,124.9
fengtaihuayuan_aq#33,10.0,75.1,103.4
fengtaihuayuan_aq#34,9.7,81.2,99.7
fengtaihuayuan_aq#35,12.0,67.3,97.1
fengtaihuayuan_aq#36,10.6,53.6,87.1
fengtaihuayuan_aq#37,9.5,41.8,59.1
fengtaihuayuan_aq#38,9.4,40.1,72.3
fengtaihuayuan_aq#39,9.1,62.1,78.9
fengtaihuayuan_aq#40,9.5,55.4,60.2
fengtaihuayuan_aq#41,15.2,62.0,36.8
fengtaihuayuan_aq#42,39.3,161.8,41.9
fengtaihuayuan_aq#43,65.1,182.6,24.0
fengtaihuayuan_aq#44,60.2,198.2,10.2
fengtaihuayuan_aq#45,60.3,197.9,4.3
fengtaihuayuan_aq#46,65.3,191.9,10.1
fengtaihuayuan_aq#47,63.5,191.9,19.1
yungang_aq#0,168.3,194.1,53.7
yungang_aq#1,163.4,196.1,49.2
yungang_aq#2,163.7,196.1,51.8
yungang_aq#3,163.4,202.0,95.1
yungang_aq#4,147.5,186.3,122.3
yungang_aq#5,54.9,174.1,135.7
yungang_aq#6,56.8,179.1,141.7
yungang_aq#7,53.6,177.0,159.2
yungang_aq#8,58.3,118.7,168.7
yungang_aq#9,55.4,118.1,185.6
yungang_aq#10,97.1,125.5,185.5
yungang_aq#11,97.1,125.6,127.4
yungang_aq#12,79.4,125.4,116.1
yungang_aq#13,79.6,124.2,96.4
yungang_aq#14,84.5,119.8,88.0
yungang_aq#15,82.2,86.4,60.3
yungang_aq#16,85.8,88.6,56.3
yungang_aq#17,59.4,112.7,64.5
yungang_aq#18,58.9,91.8,48.3
yungang_aq#19,75.9,101.9,39.6
yungang_aq#20,156.6,109.2,43.0
yungang_aq#21,165.4,131.0,41.6
yungang_aq#22,168.0,112.8,50.6
yungang_aq#23,168.1,76.1,47.4
yungang_aq#24,21.5,60.8,49.4
yungang_aq#25,29.7,60.8,41.3
yungang_aq#26,43.8,68.6,73.8
yungang_aq#27,53.0,79.8,98.0
yungang_aq#28,57.6,172.0,100.9
yungang_aq#29,77.8,182.2,110.1
yungang_aq#30,37.6,157.5,124.0
yungang_aq#31,24.0,65.5,127.1
yungang_aq#32,16.2,65.9,124.3
yungang_aq#33,16.8,72.1,117.2
yungang_aq#34,26.0,136.0,111.8
yungang_aq#35,30.5,160.0,109.8
yungang_aq#36,20.3,55.7,84.6
yungang_aq#37,15.7,37.7,80.2
yungang_aq#38,16.1,37.4,85.7
yungang_aq#39,14.1,54.9,80.7
yungang_aq#40,17.3,49.6,58.4
yungang_aq#41,38.4,168.6,41.4
yungang_aq#42,35.2,166.2,57.9
yungang_aq#43,52.9,182.7,44.2
yungang_aq#44,50.9,191.4,43.8
yungang_aq#45,51.9,191.3,44.1
yungang_aq#46,60.6,192.0,41.8
yungang_aq#47,62.1,192.0,43.3
gucheng_aq#0,167.1,138.6,33.6
gucheng_aq#1,167.1,146.1,56.2
gucheng_aq#2,169.8,135.5,56.9
gucheng_aq#3,168.7,141.9,92.4
gucheng_aq#4,169.8,186.0,100.1
gucheng_aq#5,164.5,211.9,109.7
gucheng_aq#6,70.8,180.3,124.4
gucheng_aq#7,55.4,156.7,151.0
gucheng_aq#8,52.7,129.3,160.9
gucheng_aq#9,96.9,95.4,167.6
gucheng_aq#10,96.1,92.2,202.4
gucheng_aq#11,102.2,82.3,137.3
gucheng_aq#12,84.9,80.5,127.6
gucheng_aq#13,85.6,87.7,88.9
gucheng_aq#14,89.3,157.3,85.7
gucheng_aq#15,89.0,102.2,63.2
gucheng_aq#16,89.0,107.0,63.4
gucheng_aq#17,84.3,95.1,56.0
gucheng_aq#18,63.3,90.5,46.1
gucheng_aq#19,72.7,94.6,15.0
gucheng_aq#20,155.9,111.5,7.9
gucheng_aq#21,164.7,153.5,8.7
gucheng_aq#22,167.2,186.2,13.8
gucheng_aq#23,166.6,291.1,21.9
gucheng_aq#24,61.5,80.2,31.5
gucheng_aq#25,68.7,80.2,39.0
gucheng_aq#26,110.3,165.6,72.7
gucheng_aq#27,89.7,164.9,94.0
gucheng_aq#28,91.7,161.1,101.2
gucheng_aq#29,82.7,173.5,115.5
gucheng_aq#30,72.6,169.7,120.2
gucheng_aq#31,54.4,170.7,120.3
gucheng_aq#32,47.3,173.2,125.6
gucheng_aq#33,10.7,97.2,111.3
gucheng_aq#34,10.3,97.4,104.4
gucheng_aq#35,10.2,72.5,104.6
gucheng_aq#36,12.7,74.8,94.6
gucheng_aq#37,11.4,42.1,77.7
gucheng_aq#38,10.2,39.3,91.9
gucheng_aq#39,9.3,59.5,72.3
gucheng_aq#40,13.4,54.5,54.4
gucheng_aq#41,16.9,67.7,34.3
gucheng_aq#42,54.6,155.6,42.5
gucheng_aq#43,67.4,183.1,22.5
gucheng_aq#44,69.8,203.3,14.6
gucheng_aq#45,67.5,184.9,9.2
gucheng_aq#46,71.6,191.9,14.1
gucheng_aq#47,70.2,193.2,27.0
fangshan_aq#0,167.1,139.9,18.6
fangshan_aq#1,167.1,139.4,66.2
fangshan_aq#2,169.8,136.1,83.5
fangshan_aq#3,168.7,149.2,92.4
fangshan_aq#4,169.8,175.7,100.6
fangshan_aq#5,155.7,211.9,115.8
fangshan_aq#6,56.5,191.7,131.3
fangshan_aq#7,55.9,163.0,156.9
fangshan_aq#8,53.6,116.5,160.6
fangshan_aq#9,95.3,85.5,187.1
fangshan_aq#10,102.6,83.4,181.4
fangshan_aq#11,102.2,81.8,143.0
fangshan_aq#12,86.2,89.8,127.7
