CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,id,station_id,test_id,time,apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
,41.8,,12.9,13.1,,2941516,CD9,None,3/31/2018 7:00,5.84,0.75,3/31/2018 7:00,4.21,0.81,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,998.07,Mostly Cloudy,7.2,-1,6.9,298,-10,4.69
,27.3,,12.6,-100,,2941517,CT3,None,3/31/2018 7:00,5.71,0.75,3/31/2018 7:00,4.17,0.81,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,998.06,Mostly Cloudy,7.18,-1,6.65,295,-10,4.96
,-100,,-100,5,,2941518,CT2,None,3/31/2018 7:00,5.79,0.75,3/31/2018 7:00,4.11,0.81,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,998.07,Mostly Cloudy,7.2,-1,6.78,296,-10,4.8
,-100,,-100,7,,2941519,BX9,None,3/31/2018 7:00,5.6,0.75,3/31/2018 7:00,4.32,0.82,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,997.96,Mostly Cloudy,7.11,-1,6.72,269,-10,5.02
,22,,10.1,-100,,2941520,BX1,None,3/31/2018 7:00,5.6,0.75,3/31/2018 7:00,4.32,0.82,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,997.96,Mostly Cloudy,7.11,-1,6.72,269,-10,5.02
,58.9,,19.7,10,,2941521,TH4,None,3/31/2018 7:00,5.44,0.75,3/31/2018 7:00,4.19,0.81,partly-cloudy-day,51.51504617,-0.008418493,-100,-1,-1,rain,998.01,Mostly Cloudy,7.15,-1,6.24,291,-10,5.61
,17.3,,4,3,,2941522,ST5,None,3/31/2018 7:00,5.84,0.75,3/31/2018 7:00,4.41,0.83,partly-cloudy-day,51.3892869,-0.141661525,-100,-1,-1,rain,998.12,Mostly Cloudy,7.17,-1,6.89,285,-10,4.62
,22,,15,-100,,2941523,RB7,None,3/31/2018 7:00,5.59,0.75,3/31/2018 7:00,4.26,0.82,partly-cloudy-day,51.56948433,0.082907475,-100,-1,-1,rain,997.99,Mostly Cloudy,7.11,-1,6.64,286,-10,5.07
,-100,,-100,8.7,,2941524,TD5,None,3/31/2018 7:00,6.29,0.75,3/31/2018 7:00,4.69,0.82,partly-cloudy-day,51.42525604,-0.345608291,-100,-1,-1,rain,998.18,Mostly Cloudy,7.51,-1,7.44,309,-10,4.48
,37.6,,10.7,10.9,,2941562,CD1,None,3/31/2018 8:00,6.01,0.75,3/31/2018 8:00,4.06,0.77,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,998.72,Mostly Cloudy,7.77,-1,7.68,315,-10,6.12
,68.1,,10.8,4.9,,2941563,BL0,None,3/31/2018 8:00,6.14,0.75,3/31/2018 8:00,4.06,0.77,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,998.7,Mostly Cloudy,7.91,-1,7.57,312,-10,6.19
,14.9,,7.1,9.1,,2941564,GR4,None,3/31/2018 8:00,5.68,0.75,3/31/2018 8:00,4.14,0.79,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,998.56,Mostly Cloudy,7.61,-1,7.21,303,-10,6.58
,-100,,14.3,10.9,,2941565,MY7,None,3/31/2018 8:00,6.1,0.75,3/31/2018 8:00,4.06,0.77,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,998.71,Mostly Cloudy,7.85,-1,7.63,314,-10,6.14
,24.2,,7,5.6,,2941566,HV1,None,3/31/2018 8:00,5.93,0.75,3/31/2018 8:00,4.09,0.79,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,998.46,Mostly Cloudy,7.56,-1,7.54,292,-10,5.61
,59.4,,17.8,13,,2941567,GN3,None,3/31/2018 8:00,5.61,0.75,3/31/2018 8:00,4.07,0.78,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,998.54,Mostly Cloudy,7.64,-1,7.02,304,-10,6.97
,29.5,,9.7,7.8,,2941568,GR9,None,3/31/2018 8:00,5.66,0.75,3/31/2018 8:00,4.13,0.79,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,998.57,Mostly Cloudy,7.63,-1,7.18,305,-10,6.72
,57.5,,29.7,18.6,,2941569,LW2,None,3/31/2018 8:00,5.82,0.75,3/31/2018 8:00,4.11,0.78,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,998.67,Mostly Cloudy,7.71,-1,7.35,309,-10,6.5
,67.2,,18,12.6,,2941570,GN0,None,3/31/2018 8:00,5.5,0.75,3/31/2018 8:00,4.01,0.78,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,998.55,Mostly Cloudy,7.68,-1,6.81,307,-10,7.54
,-100,,6.6,5.3,,2941571,KF1,None,3/31/2018 8:00,5.94,0.75,3/31/2018 8:00,4.07,0.77,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,998.76,Mostly Cloudy,7.79,-1,7.89,318,-10,6.41
,48.8,,11.5,8.9,,2941572,CD9,None,3/31/2018 8:00,6.1,0.75,3/31/2018 8:00,4.06,0.77,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,998.7,Mostly Cloudy,7.86,-1,7.58,313,-10,6.19
,28.1,,16.2,-100,,2941573,CT3,None,3/31/2018 8:00,6.03,0.75,3/31/2018 8:00,4.07,0.77,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,998.68,Mostly Cloudy,7.84,-1,7.45,310,-10,6.35
,-100,,-100,10,,2941574,CT2,None,3/31/2018 8:00,6.19,0.75,3/31/2018 8:00,4.05,0.76,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,998.69,Mostly Cloudy,7.96,-1,7.52,311,-10,6.25
,-100,,-100,10.6,,2941575,BX9,None,3/31/2018 8:00,5.94,0.75,3/31/2018 8:00,4.12,0.79,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,998.46,Mostly Cloudy,7.57,-1,7.51,292,-10,5.62
,9,,8.6,-100,,2941576,BX1,None,3/31/2018 8:00,5.94,0.75,3/31/2018 8:00,4.12,0.79,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,998.46,Mostly Cloudy,7.57,-1,7.51,292,-10,5.62
,78,,24.5,12.5,,2941577,TH4,None,3/31/2018 8:00,5.69,0.75,3/31/2018 8:00,4.07,0.78,partly-cloudy-day,51.51504617,-0.008418493,-100,-1,-1,rain,998.6,Mostly Cloudy,7.68,-1,7.26,307,-10,6.83
,13.5,,12,3,,2941578,ST5,None,3/31/2018 8:00,5.76,0.75,3/31/2018 8:00,4.27,0.79,partly-cloudy-day,51.3892869,-0.141661525,-100,-1,-1,rain,998.75,Mostly Cloudy,7.59,-1,7.81,309,-10,6.24
,21.6,,11.2,-100,,2941579,RB7,None,3/31/2018 8:00,5.74,0.75,3/31/2018 8:00,4.08,0.79,partly-cloudy-day,51.56948433,0.082907475,-100,-1,-1,rain,998.56,Mostly Cloudy,7.58,-1,7.45,303,-10,6.26
,-100,,-100,6.8,,2941580,TD5,None,3/31/2018 8:00,6.06,0.75,3/31/2018 8:00,4.22,0.78,partly-cloudy-day,51.42525604,-0.345608291,-100,-1,-1,rain,998.86,Mostly Cloudy,7.87,-1,7.91,317,-10,6.34
,77.6,,9.7,9,,2941618,CD1,None,3/31/2018 9:00,5.66,0.75,3/31/2018 9:00,3.94,0.75,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,999.35,Mostly Cloudy,8.11,-1,7.68,301,-10,9.03
,54.1,,5.6,2.4,,2941619,BL0,None,3/31/2018 9:00,6.16,0.75,3/31/2018 9:00,3.79,0.72,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,999.33,Mostly Cloudy,8.48,-1,7.57,300,-10,8.82
,14.7,,8.7,5.2,,2941620,GR4,None,3/31/2018 9:00,5.68,0.75,3/31/2018 9:00,3.83,0.75,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,999.19,Mostly Cloudy,8.02,-1,7.21,297,-10,8.45
,-100,,5.8,7.4,,2941621,MY7,None,3/31/2018 9:00,5.95,0.75,3/31/2018 9:00,3.86,0.73,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,999.35,Mostly Cloudy,8.32,-1,7.63,300,-10,8.9
,21.4,,9.8,6.7,,2941622,HV1,None,3/31/2018 9:00,5.51,0.75,3/31/2018 9:00,4.07,0.77,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,999.06,Mostly Cloudy,7.83,-1,7.54,292,-10,8.23
,50.6,,7.6,6.1,,2941623,GN3,None,3/31/2018 9:00,5.83,0.75,3/31/2018 9:00,3.72,0.74,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,999.16,Mostly Cloudy,8.16,-1,7.02,297,-10,8.55
,29.9,,10,5.4,,2941624,GR9,None,3/31/2018 9:00,5.73,0.75,3/31/2018 9:00,3.79,0.74,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,999.21,Mostly Cloudy,8.07,-1,7.18,298,-10,8.49
,47.1,,11.5,15.4,,2941625,LW2,None,3/31/2018 9:00,5.83,0.75,3/31/2018 9:00,3.81,0.74,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,999.3,Mostly Cloudy,8.17,-1,7.35,300,-10,8.6
,56.6,,16.9,10.4,,2941626,GN0,None,3/31/2018 9:00,6.01,0.75,3/31/2018 9:00,3.54,0.72,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,999.18,Mostly Cloudy,8.33,-1,6.81,298,-10,8.68
,-100,,5,4,,2941627,KF1,None,3/31/2018 9:00,5.48,0.75,3/31/2018 9:00,3.99,0.76,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,999.42,Mostly Cloudy,8.04,-1,7.89,302,-10,9.48
,40.9,,8.8,9.4,,2941628,CD9,None,3/31/2018 9:00,6.03,0.75,3/31/2018 9:00,3.83,0.73,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,999.33,Mostly Cloudy,8.38,-1,7.58,300,-10,8.84
,24.2,,13,-100,,2941629,CT3,None,3/31/2018 9:00,6.09,0.75,3/31/2018 9:00,3.78,0.73,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,999.31,Mostly Cloudy,8.4,-1,7.45,300,-10,8.71
,-100,,-100,9,,2941630,CT2,None,3/31/2018 9:00,6.35,0.75,3/31/2018 9:00,3.73,0.71,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,999.33,Mostly Cloudy,8.62,-1,7.52,300,-10,8.76
,-100,,-100,10.5,,2941631,BX9,None,3/31/2018 9:00,5.51,0.75,3/31/2018 9:00,4.07,0.77,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,999.07,Mostly Cloudy,7.84,-1,7.51,293,-10,8.25
,15,,8.3,-100,,2941632,BX1,None,3/31/2018 9:00,5.51,0.75,3/31/2018 9:00,4.07,0.77,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,999.07,Mostly Cloudy,7.84,-1,7.51,293,-10,8.25
,62.1,,15.6,7,,2941633,TH4,None,3/31/2018 9:00,5.88,0.75,3/31/2018 9:00,3.72,0.73,partly-cloudy-day,51.51504617,-0.008418493,-100,-1,-1,rain,999.2,Mostly Cloudy,8.21,-1,7.26,299,-10,8.59
,14.3,,10,8,,2941634,ST5,None,3/31/2018 9:00,5.36,0.75,3/31/2018 9:00,3.96,0.77,partly-cloudy-day,51.3892869,-0.141661525,-100,-1,-1,rain,999.44,Mostly Cloudy,7.79,-1,7.81,301,-10,8.63
,26.7,,7.6,-100,,2941635,RB7,None,3/31/2018 9:00,5.61,0.75,3/31/2018 9:00,3.89,0.76,partly-cloudy-day,51.56948433,0.082907475,-100,-1,-1,rain,999.15,Mostly Cloudy,7.95,-1,7.45,297,-10,8.41
,-100,,-100,4.5,,2941636,TD5,None,3/31/2018 9:00,5.34,0.75,3/31/2018 9:00,4.16,0.77,partly-cloudy-day,51.42525604,-0.345608291,-100,-1,-1,rain,999.54,Mostly Cloudy,7.89,-1,7.91,300,-10,9.25
,59.7,,10.7,10.3,,2941674,CD1,None,3/31/2018 10:00,4.99,0.75,3/31/2018 10:00,3.92,0.78,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,1000.03,Mostly Cloudy,7.53,-1,7.44,306,-10,8.86
,59.9,,6.5,4.6,,2941675,BL0,None,3/31/2018 10:00,5.62,0.75,3/31/2018 10:00,3.76,0.74,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,1000,Mostly Cloudy,8.07,-1,7.33,304,-10,9.04
,6.2,,5.4,1,,2941676,GR4,None,3/31/2018 10:00,4.73,0.75,3/31/2018 10:00,3.57,0.76,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,999.75,Mostly Cloudy,7.5,-1,6.97,297,-10,9.87
,-100,,6,6.9,,2941677,MY7,None,3/31/2018 10:00,5.37,0.75,3/31/2018 10:00,3.83,0.76,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,1000.02,Mostly Cloudy,7.86,-1,7.4,305,-10,8.91
,24,,7.4,6.7,,2941678,HV1,None,3/31/2018 10:00,4.92,0.75,3/31/2018 10:00,3.75,0.77,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,999.59,Mostly Cloudy,7.48,-1,7.36,296,-10,8.85
,46.9,,6.9,5.4,,2941679,GN3,None,3/31/2018 10:00,4.59,0.75,3/31/2018 10:00,3.49,0.76,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,999.73,Mostly Cloudy,7.54,-1,6.71,295,-10,10.75
,29,,4.8,2.4,,2941680,GR9,None,3/31/2018 10:00,4.72,0.75,3/31/2018 10:00,3.56,0.76,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,999.78,Mostly Cloudy,7.53,-1,6.93,297,-10,10.06
,43.3,,17.5,16.4,,2941681,LW2,None,3/31/2018 10:00,4.96,0.75,3/31/2018 10:00,3.66,0.76,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,999.93,Mostly Cloudy,7.64,-1,7.08,300,-10,9.61
,44.5,,5.4,4.1,,2941682,GN0,None,3/31/2018 10:00,4.47,0.75,3/31/2018 10:00,3.36,0.75,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,999.75,Mostly Cloudy,7.6,-1,6.42,294,-10,11.79
,-100,,6.5,5.6,,2941683,KF1,None,3/31/2018 10:00,4.9,0.8,3/31/2018 10:00,4.02,0.79,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,1000.1,Mostly Cloudy,7.45,-1,7.65,307,-10,8.83
,38.6,,10.2,10.1,,2941684,CD9,None,3/31/2018 10:00,5.45,0.75,3/31/2018 10:00,3.79,0.75,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,1000,Mostly Cloudy,7.94,-1,7.34,304,-10,9.02
,25.2,,9.8,-100,,2941685,CT3,None,3/31/2018 10:00,5.41,0.75,3/31/2018 10:00,3.71,0.74,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,999.96,Mostly Cloudy,7.96,-1,7.19,302,-10,9.36
,-100,,-100,9,,2941686,CT2,None,3/31/2018 10:00,5.84,0.75,3/31/2018 10:00,3.69,0.73,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,999.98,Mostly Cloudy,8.28,-1,7.28,303,-10,9.15
,-100,,-100,6.1,,2941687,BX9,None,3/31/2018 10:00,4.98,0.75,3/31/2018 10:00,3.7,0.77,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,999.59,Mostly Cloudy,7.52,-1,7.33,296,-10,8.86
,18.1,,5.7,-100,,2941688,BX1,None,3/31/2018 10:00,4.98,0.75,3/31/2018 10:00,3.7,0.77,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,999.59,Mostly Cloudy,7.52,-1,7.33,296,-10,8.86
,49,,16.3,7.7,,2941689,TH4,None,3/31/2018 10:00,4.76,0.75,3/31/2018 10:00,3.61,0.76,partly-cloudy-day,51.51504617,-0.008418493,-100,-1,-1,rain,999.82,Mostly Cloudy,7.61,-1,6.94,298,-10,10.35
,19.4,,9,10,,2941690,ST5,None,3/31/2018 10:00,4.82,0.83,3/31/2018 10:00,3.82,0.78,partly-cloudy-day,51.3892869,-0.141661525,-100,-1,-1,rain,1000.06,Mostly Cloudy,7.33,-1,7.66,303,-10,8.52
,21.6,,6.6,-100,,2941691,RB7,None,3/31/2018 10:00,4.65,0.75,3/31/2018 10:00,3.74,0.78,partly-cloudy-day,51.56948433,0.082907475,-100,-1,-1,rain,999.77,Mostly Cloudy,7.37,-1,7.19,299,-10,9.47
,-100,,-100,8.2,,2941692,TD5,None,3/31/2018 10:00,4.65,0.81,3/31/2018 10:00,4.34,0.82,partly-cloudy-day,51.42525604,-0.345608291,-100,-1,-1,rain,1000.24,Mostly Cloudy,7.23,-1,7.73,306,-10,8.75
,59.2,,14.4,11.9,,2941730,CD1,None,3/31/2018 11:00,3.66,0.75,3/31/2018 11:00,4.16,0.84,partly-cloudy-day,51.544219,-0.175284,-100,-1,-1,rain,1000.97,Mostly Cloudy,6.62,-1,7.3,311,-10,9.77
,50.5,,7,4.4,,2941731,BL0,None,3/31/2018 11:00,4.02,0.75,3/31/2018 11:00,4.21,0.83,partly-cloudy-day,51.522287,-0.125848,-100,-1,-1,rain,1000.95,Mostly Cloudy,6.94,-1,7.2,310,-10,9.94
,5.1,,0.9,8.3,,2941732,GR4,None,3/31/2018 11:00,3.44,0.75,3/31/2018 11:00,4.02,0.84,partly-cloudy-day,51.45258,0.070766,-100,-1,-1,rain,1000.68,Mostly Cloudy,6.61,-1,6.99,307,-10,10.7
,-100,,6.9,7,,2941733,MY7,None,3/31/2018 11:00,3.87,0.75,3/31/2018 11:00,4.19,0.83,partly-cloudy-day,51.52254,-0.15459,-100,-1,-1,rain,1000.96,Mostly Cloudy,6.8,-1,7.25,311,-10,9.82
,16.1,,4.1,2,,2941734,HV1,None,3/31/2018 11:00,3.52,0.75,3/31/2018 11:00,4.01,0.84,partly-cloudy-day,51.52078746,0.205460706,-100,-1,-1,rain,1000.47,Mostly Cloudy,6.53,-1,7.31,307,-10,9.88
,32.7,,8.3,4.8,,2941735,GN3,None,3/31/2018 11:00,3.56,0.75,3/31/2018 11:00,3.99,0.82,partly-cloudy-day,51.486957,0.095111,-100,-1,-1,rain,1000.64,Mostly Cloudy,6.82,-1,6.85,305,-10,11.43
,28.1,,7.2,3.1,,2941736,GR9,None,3/31/2018 11:00,3.48,0.75,3/31/2018 11:00,4.02,0.83,partly-cloudy-day,51.456357,0.040725,-100,-1,-1,rain,1000.71,Mostly Cloudy,6.66,-1,6.97,306,-10,10.84
,41.9,,20.7,29.1,,2941737,LW2,None,3/31/2018 11:00,3.59,0.75,3/31/2018 11:00,4.09,0.84,partly-cloudy-day,51.474954,-0.039641,-100,-1,-1,rain,1000.89,Mostly Cloudy,6.69,-1,7,308,-10,10.49
,40.7,,6.4,7.8,,2941738,GN0,None,3/31/2018 11:00,3.67,0.75,3/31/2018 11:00,3.97,0.81,partly-cloudy-day,51.490532,0.074003,-100,-1,-1,rain,1000.67,Mostly Cloudy,7.03,-1,6.68,304,-10,12.29
,-100,,5.7,4.9,,2941739,KF1,None,3/31/2018 11:00,3.56,0.8,3/31/2018 11:00,4.21,0.85,partly-cloudy-day,51.52104675,-0.21349214,-100,-1,-1,rain,1001.04,Mostly Cloudy,6.55,-1,7.51,312,-10,9.83
,35.9,,10.5,10.7,,2941740,CD9,None,3/31/2018 11:00,3.92,0.75,3/31/2018 11:00,4.19,0.83,partly-cloudy-day,51.52770662,-0.129053205,-100,-1,-1,rain,1000.95,Mostly Cloudy,6.86,-1,7.21,311,-10,9.93
,20.9,,15,-100,,2941741,CT3,None,3/31/2018 11:00,3.88,0.75,3/31/2018 11:00,4.17,0.83,partly-cloudy-day,51.51384718,-0.077765682,-100,-1,-1,rain,1000.92,Mostly Cloudy,6.88,-1,7.09,309,-10,10.25
,-100,,-100,10,,2941742,CT2,None,3/31/2018 11:00,4.15,0.75,3/31/2018 11:00,4.22,0.82,partly-cloudy-day,51.51452534,-0.104515626,-100,-1,-1,rain,1000.93,Mostly Cloudy,7.07,-1,7.15,310,-10,10.06
,-100,,-100,4.8,,2941743,BX9,None,3/31/2018 11:00,3.49,0.75,3/31/2018 11:00,4.01,0.84,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,1000.47,Mostly Cloudy,6.52,-1,7.27,306,-10,9.97
,7.9,,5,-100,,2941744,BX1,None,3/31/2018 11:00,3.49,0.75,3/31/2018 11:00,4.01,0.84,partly-cloudy-day,51.46598327,0.184877127,-100,-1,-1,rain,1000.47,Mostly Cloudy,6.52,-1,7.27,306,-10,9.97
,50.4,,20.2,8.6,,2941745,TH4,None,3/31/2018 11:00,3.62,0.75,3/31/2018 11:00,4.06,0.83,partly-cloudy-day,51.51504617,-0.008418493,-100,-1,-1,rain,1000.74,Mostly Cloudy,6.81,-1,6.98,307,-10,11.05
,17.3,,7,8,,2941746,ST5,None,3/31/2018 11:00,3.21,0.83,3/31/2018 11:00,4.07,0.86,partly-cloudy-day,51.3892869,-0.141661525,-100,-1,-1,rain,1001.06,Mostly Cloudy,6.22,-1,7.34,312,-10,9.58
,15.9,,5,-100,,2941747,RB7,None,3/31/2018 11:00,3.47,0.75,3/31/2018 11:00,4.03,0.84,partly-cloudy-day,51.56948433,0.082907475,-100,-1,-1,rain,1000.67,Mostly Cloudy,6.56,-1,7.13,309,-10,10.29
,-100,,-100,11.8,,2941748,TD5,None,3/31/2018 11:00,3.51,0.81,3/31/2018 11:00,4.25,0.86,partly-cloudy-day,51.42525604,-0.345608291,-100,-1,-1,rain,1001.19,Mostly Cloudy,6.47,-1,7.59,312,-10,9.61
,47.5,,13.7,10.2,,2941786,CD1,None,3/31/2018 12:00,3.32,0.75,3/31/2018 12:00,4.22,0.86,partly-cloudy-night,51.544219,-0.175284,-100,-1,-1,rain,1001.96,Mostly Cloudy,6.46,-1,7.6,313,-10,10.42
,43.6,,8.8,6.6,,2941787,BL0,None,3/31/2018 12:00,3.78,0.75,3/31/2018 12:00,4.26,0.84,partly-cloudy-night,51.522287,-0.125848,-100,-1,-1,rain,1001.93,Mostly Cloudy,6.82,-1,7.51,312,-10,10.36
,5.3,,10.4,3.8,,2941788,GR4,None,3/31/2018 12:00,3.22,0.75,3/31/2018 12:00,4.17,0.86,partly-cloudy-night,51.45258,0.070766,-100,-1,-1,rain,1001.63,Mostly Cloudy,6.39,-1,7.3,306,-10,10.49
,-100,,8.3,8.5,,2941789,MY7,None,3/31/2018 12:00,3.6,0.75,3/31/2018 12:00,4.24,0.84,partly-cloudy-night,51.52254,-0.15459,-100,-1,-1,rain,1001.95,Mostly Cloudy,6.67,-1,7.57,312,-10,10.35
,15.4,,4.8,4.5,,2941790,HV1,None,3/31/2018 12:00,3.26,0.75,3/31/2018 12:00,4.22,0.87,partly-cloudy-night,51.52078746,0.205460706,-100,-1,-1,rain,1001.39,Mostly Cloudy,6.3,-1,7.5,305,-10,9.79
,29.6,,8.1,6.9,,2941791,GN3,None,3/31/2018 12:00,3.31,0.75,3/31/2018 12:00,4.12,0.85,partly-cloudy-night,51.486957,0.095111,-100,-1,-1,rain,1001.59,Mostly Cloudy,6.54,-1,7.1,305,-10,10.93
,25.1,,7,6.4,,2941792,GR9,None,3/31/2018 12:00,3.26,0.75,3/31/2018 12:00,4.16,0.85,partly-cloudy-night,51.456357,0.040725,-100,-1,-1,rain,1001.67,Mostly Cloudy,6.44,-1,7.28,306,-10,10.62
,34.4,,14.1,14,,2941793,LW2,None,3/31/2018 12:00,3.37,0.75,3/31/2018 12:00,4.18,0.85,partly-cloudy-night,51.474954,-0.039641,-100,-1,-1,rain,1001.86,Mostly Cloudy,6.51,-1,7.31,308,-10,10.49
,32,,7.2,6.5,,2941794,GN0,None,3/31/2018 12:00,3.4,0.75,3/31/2018 12:00,4.06,0.83,partly-cloudy-night,51.490532,0.074003,-100,-1,-1,rain,1001.62,Mostly Cloudy,6.69,-1,6.87,303,-10,11.48
,-100,,6.8,5.9,,2941795,KF1,None,3/31/2018 12:00,3.22,0.75,3/31/2018 12:00,4.27,0.86,partly-cloudy-night,51.52104675,-0.21349214,-100,-1,-1,rain,1002.04,Mostly Cloudy,6.41,-1,7.79,314,-10,10.58
